trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
206,False,"{'a': 0.5, 'e': 0.27549999999999997}",20,6,8.32954191673982,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.272}",20,9,-17.44102231102479,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.26849999999999996}",20,0,-13.686247320829189,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
209,False,"{'a': 0.5, 'e': 0.265}",30,0,15.57460100086694,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
210,False,"{'a': 0.5, 'e': 0.26149999999999995}",20,0,7.6820328096743244,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
211,False,"{'a': 0.5, 'e': 0.258}",25,9,9.514393449435342,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.25449999999999995}",30,20,-0.8194492462397012,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.251}",30,15,23.530471095271785,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.24749999999999994}",20,5,-14.403211402508841,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
215,False,"{'a': 0.5, 'e': 0.244}",25,11,15.065898888204863,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.24049999999999994}",25,9,-19.30471741044078,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
217,False,"{'a': 0.5, 'e': 0.237}",20,0,-3.933517719649596,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
218,False,"{'a': 0.5, 'e': 0.23349999999999993}",20,6,-5.048988001080014,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.22999999999999998}",25,3,14.020918742012164,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.22650000000000003}",25,0,14.173272455050844,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
221,False,"{'a': 0.5, 'e': 0.22299999999999998}",25,16,13.262393196160598,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.21950000000000003}",25,11,14.589584928102486,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.21599999999999997}",20,8,0.14333650818286214,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.21250000000000002}",20,9,-3.9016679236787963,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.20899999999999996}",25,0,20.384375343585617,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
226,False,"{'a': 0.5, 'e': 0.20550000000000002}",20,3,25.455656978925493,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.20199999999999996}",25,7,-28.172925582283554,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.1985}",20,0,-6.49343479017819,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
229,False,"{'a': 0.5, 'e': 0.19499999999999995}",20,7,23.05671087104284,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.1915}",25,1,-7.156933623394892,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.18799999999999994}",25,7,16.814422440282588,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.1845}",20,10,19.307958664957617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
